# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-1.988494	0.008606
-1.913457	0.008772
-1.838419	0.008778
-1.763382	0.008670
-1.688344	0.008864
-1.613307	0.008797
-1.538269	0.008864
-1.463232	0.008805
-1.388194	0.008778
-1.313157	0.009007
-1.238119	0.008602
-1.163082	0.008934
-1.088044	0.008585
-1.013007	0.008726
-0.937969	0.008716
-0.862931	0.008745
-0.787894	0.008490
-0.712856	0.008687
-0.637819	0.008716
-0.562781	0.008361
-0.487744	0.008843
-0.412706	0.008764
-0.337669	0.008882
-0.262631	0.009003
-0.187594	0.008760
-0.112556	0.008789
-0.037519	0.008886
0.037519	0.008945
0.112556	0.008625
0.187594	0.008783
0.262631	0.008683
0.337669	0.008579
0.412706	0.008602
0.487744	0.008816
0.562781	0.008780
0.637819	0.008899
0.712856	0.008571
0.787894	0.008724
0.862931	0.008801
0.937969	0.008870
1.013007	0.008791
1.088044	0.008876
1.163082	0.008828
1.238119	0.009092
1.313157	0.008583
1.388194	0.008542
1.463232	0.008785
1.538269	0.008623
1.613307	0.008901
1.688344	0.008737
1.763382	0.008460
1.838419	0.008647
1.913457	0.008795
1.988494	0.008544
2.063532	0.008440
2.138569	0.008492
2.213607	0.008818
2.288644	0.008905
2.363682	0.008523
2.438719	0.008720
2.513757	0.008147
2.588794	0.008529
2.663832	0.008841
2.738869	0.008556
2.813907	0.008610
2.888944	0.008699
2.963982	0.008369
3.039020	0.008729
3.114057	0.008780
3.189095	0.008477
3.264132	0.008706
3.339170	0.008760
3.414207	0.008756
3.489245	0.008419
3.564282	0.008425
3.639320	0.008629
3.714357	0.008672
3.789395	0.008614
3.864432	0.008589
3.939470	0.008340
4.014507	0.008303
4.089545	0.008760
4.164582	0.008573
4.239620	0.008766
4.314657	0.008731
4.389695	0.008687
4.464732	0.008637
4.539770	0.008328
4.614807	0.008217
4.689845	0.008610
4.764882	0.008697
4.839920	0.008662
4.914957	0.008325
4.989995	0.008537
5.065033	0.008606
5.140070	0.008153
5.215108	0.008448
5.290145	0.008820
5.365183	0.008487
5.440220	0.008687
5.515258	0.008893
5.590295	0.008542
5.665333	0.008321
5.740370	0.009001
5.815408	0.008664
5.890445	0.008575
5.965483	0.008386
6.040520	0.008569
6.115558	0.008726
6.190595	0.008394
6.265633	0.008344
6.340670	0.008820
6.415708	0.008392
6.490745	0.008635
6.565783	0.008783
6.640820	0.008417
6.715858	0.008359
6.790895	0.008519
6.865933	0.008465
6.940970	0.008612
7.016008	0.008371
7.091046	0.008521
7.166083	0.008685
7.241121	0.008816
7.316158	0.008450
7.391196	0.008785
7.466233	0.008552
7.541271	0.008498
7.616308	0.008394
7.691346	0.008388
7.766383	0.008618
7.841421	0.008261
7.916458	0.008477
7.991496	0.008294
8.066533	0.008479
8.141571	0.008726
8.216608	0.008446
8.291646	0.008379
8.366683	0.008494
8.441721	0.008456
8.516758	0.008336
8.591796	0.008569
8.666833	0.008943
8.741871	0.008317
8.816908	0.008789
8.891946	0.008654
8.966983	0.008733
9.042021	0.008413
9.117059	0.008423
